idx_NUTS3,1,2,3,4,5,6,7
DE939,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE93A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE93B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE941,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE942,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE943,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE944,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE945,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE946,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE947,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE948,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE949,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE94A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE94B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE94C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE94D,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE94E,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE94F,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE94G,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE94H,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA11,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA12,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA13,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA14,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA15,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA16,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA17,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA18,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA19,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA1A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA1B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA1C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA1D,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA1E,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA1F,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA22,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA23,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA24,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA26,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA27,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA28,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA29,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA2A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA2B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA2C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA2D,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA31,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA32,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA33,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA34,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA35,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA36,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA37,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA38,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA41,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA42,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA43,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA44,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA45,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA46,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA47,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA51,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA52,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA53,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA54,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA55,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA56,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA57,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA58,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA59,0.299,0.34,0.025,0.025,0.052,0.157,0.157
