country,NUTS0_ID,type_of_building,heating_equipment,year,heating_or_cooling,price_index_households_appliances,labour_cost_index_construction_sector,equipment_and_maintenance_index,specific_investment_costs,equipment_cost_ share,installation_cost_share,fixed_O_and_M,variable_O_and_M,technical_lifetime,total_annual_net_efficiency
Germany,DE,service,Natural gas,2020,heating,0.89,0.69,0.82,54,0.84,0.16,2,0,25,1.02
Greece,EL,service,Natural gas,2020,heating,0.81,0.29,0.74,46,0.84,0.16,1,0,25,1.02
Hungary,HU,service,Natural gas,2020,heating,0.76,0.15,0.57,42,0.84,0.16,1,0,25,1.02
Ireland,IE,service,Natural gas,2020,heating,0.87,0.69,0.83,53,0.84,0.16,2,0,25,1.02
Italy,IT,service,Natural gas,2020,heating,0.94,0.6,0.87,56,0.84,0.16,2,0,25,1.02
Latvia,LV,service,Natural gas,2020,heating,0.76,0.19,0.68,42,0.84,0.16,1,0,25,1.02
Lithuania,LT,service,Natural gas,2020,heating,0.81,0.18,0.66,45,0.84,0.16,1,0,25,1.02
Luxembourg,LU,service,Natural gas,2020,heating,0.98,0.64,0.92,59,0.84,0.16,2,0,25,1.02
Malta,MT,service,Natural gas,2020,heating,1.16,0.24,0.85,64,0.84,0.16,2,0,25,1.02
Netherlands,NL,service,Natural gas,2020,heating,0.87,0.86,0.88,54,0.84,0.16,2,0,25,1.02
Poland,PL,service,Natural gas,2020,heating,0.66,0.19,0.52,37,0.84,0.16,1,0,25,1.02
Portugal,PT,service,Natural gas,2020,heating,1,0.3,0.77,56,0.84,0.16,2,0,25,1.02
Romania,RO,service,Natural gas,2020,heating,0.8,0.11,0.57,43,0.84,0.16,1,0,25,1.02
Slovakia,SK,service,Natural gas,2020,heating,0.81,0.24,0.66,45,0.84,0.16,1,0,25,1.02
Slovenia,SI,service,Natural gas,2020,heating,0.88,0.3,0.73,50,0.84,0.16,1,0,25,1.02
Spain,ES,service,Natural gas,2020,heating,0.89,0.51,0.82,52,0.84,0.16,2,0,25,1.02
Sweden,SE,service,Natural gas,2020,heating,1.01,1.02,0.98,63,0.84,0.16,2,0,25,1.02
United Kingdom,UK,service,Natural gas,2020,heating,0.87,0.71,0.85,53,0.84,0.16,2,0,25,1.02
Austria,AT,service,Natural gas,2030,heating,0.82,0.81,0.9,52,0.84,0.16,2,0,25,1.02
Belgium,BE,service,Natural gas,2030,heating,0.92,0.88,0.88,58,0.84,0.16,2,0,25,1.02
Bulgaria,BG,service,Natural gas,2030,heating,0.73,0.09,0.52,40,0.84,0.16,1,0,25,1.02
Croatia,HR,service,Natural gas,2030,heating,0.83,0.23,0.66,46,0.84,0.16,1,0,25,1.02
Cyprus,CY,service,Natural gas,2030,heating,1.02,0.36,0.73,58,0.84,0.16,1,0,25,1.02
Czech Republic,CZ,service,Natural gas,2030,heating,0.8,0.24,0.63,45,0.84,0.16,1,0,25,1.02
Denmark,DK,service,Natural gas,2030,heating,1,1,1,63,0.84,0.16,2,0,25,1.02
Estonia,EE,service,Natural gas,2030,heating,0.82,0.3,0.72,46,0.84,0.16,1,0,25,1.02
Finland,FI,service,Natural gas,2030,heating,0.94,0.87,0.92,58,0.84,0.16,2,0,25,1.02
France,FR,service,Natural gas,2030,heating,0.93,0.8,0.84,57,0.84,0.16,2,0,25,1.02
Germany,DE,service,Natural gas,2030,heating,0.89,0.69,0.82,54,0.84,0.16,2,0,25,1.02
Greece,EL,service,Natural gas,2030,heating,0.81,0.29,0.74,46,0.84,0.16,1,0,25,1.02
Hungary,HU,service,Natural gas,2030,heating,0.76,0.15,0.57,42,0.84,0.16,1,0,25,1.02
Ireland,IE,service,Natural gas,2030,heating,0.87,0.69,0.83,53,0.84,0.16,2,0,25,1.02
Italy,IT,service,Natural gas,2030,heating,0.94,0.6,0.87,56,0.84,0.16,2,0,25,1.02
Latvia,LV,service,Natural gas,2030,heating,0.76,0.19,0.68,42,0.84,0.16,1,0,25,1.02
Lithuania,LT,service,Natural gas,2030,heating,0.81,0.18,0.66,45,0.84,0.16,1,0,25,1.02
Luxembourg,LU,service,Natural gas,2030,heating,0.98,0.64,0.92,59,0.84,0.16,2,0,25,1.02
Malta,MT,service,Natural gas,2030,heating,1.16,0.24,0.85,64,0.84,0.16,2,0,25,1.02
Netherlands,NL,service,Natural gas,2030,heating,0.87,0.86,0.88,54,0.84,0.16,2,0,25,1.02
Poland,PL,service,Natural gas,2030,heating,0.66,0.19,0.52,37,0.84,0.16,1,0,25,1.02
Portugal,PT,service,Natural gas,2030,heating,1,0.3,0.77,56,0.84,0.16,2,0,25,1.02
Romania,RO,service,Natural gas,2030,heating,0.8,0.11,0.57,43,0.84,0.16,1,0,25,1.02
Slovakia,SK,service,Natural gas,2030,heating,0.81,0.24,0.66,45,0.84,0.16,1,0,25,1.02
Slovenia,SI,service,Natural gas,2030,heating,0.88,0.3,0.73,50,0.84,0.16,1,0,25,1.02
Spain,ES,service,Natural gas,2030,heating,0.89,0.51,0.82,52,0.84,0.16,2,0,25,1.02
Sweden,SE,service,Natural gas,2030,heating,1.01,1.02,0.98,63,0.84,0.16,2,0,25,1.02
United Kingdom,UK,service,Natural gas,2030,heating,0.87,0.71,0.85,53,0.84,0.16,2,0,25,1.02
Austria,AT,service,Natural gas,2050,heating,0.82,0.81,0.9,52,0.84,0.16,2,0,25,1.02
Belgium,BE,service,Natural gas,2050,heating,0.92,0.88,0.88,58,0.84,0.16,2,0,25,1.02
Bulgaria,BG,service,Natural gas,2050,heating,0.73,0.09,0.52,40,0.84,0.16,1,0,25,1.02
Croatia,HR,service,Natural gas,2050,heating,0.83,0.23,0.66,46,0.84,0.16,1,0,25,1.02
Cyprus,CY,service,Natural gas,2050,heating,1.02,0.36,0.73,58,0.84,0.16,1,0,25,1.02
Czech Republic,CZ,service,Natural gas,2050,heating,0.8,0.24,0.63,45,0.84,0.16,1,0,25,1.02
Denmark,DK,service,Natural gas,2050,heating,1,1,1,63,0.84,0.16,2,0,25,1.02
Estonia,EE,service,Natural gas,2050,heating,0.82,0.3,0.72,46,0.84,0.16,1,0,25,1.02
Finland,FI,service,Natural gas,2050,heating,0.94,0.87,0.92,58,0.84,0.16,2,0,25,1.02
France,FR,service,Natural gas,2050,heating,0.93,0.8,0.84,57,0.84,0.16,2,0,25,1.02
Germany,DE,service,Natural gas,2050,heating,0.89,0.69,0.82,54,0.84,0.16,2,0,25,1.02
Greece,EL,service,Natural gas,2050,heating,0.81,0.29,0.74,46,0.84,0.16,1,0,25,1.02
Hungary,HU,service,Natural gas,2050,heating,0.76,0.15,0.57,42,0.84,0.16,1,0,25,1.02
Ireland,IE,service,Natural gas,2050,heating,0.87,0.69,0.83,53,0.84,0.16,2,0,25,1.02
Italy,IT,service,Natural gas,2050,heating,0.94,0.6,0.87,56,0.84,0.16,2,0,25,1.02
Latvia,LV,service,Natural gas,2050,heating,0.76,0.19,0.68,42,0.84,0.16,1,0,25,1.02
Lithuania,LT,service,Natural gas,2050,heating,0.81,0.18,0.66,45,0.84,0.16,1,0,25,1.02
Luxembourg,LU,service,Natural gas,2050,heating,0.98,0.64,0.92,59,0.84,0.16,2,0,25,1.02
Malta,MT,service,Natural gas,2050,heating,1.16,0.24,0.85,64,0.84,0.16,2,0,25,1.02
Netherlands,NL,service,Natural gas,2050,heating,0.87,0.86,0.88,54,0.84,0.16,2,0,25,1.02
Poland,PL,service,Natural gas,2050,heating,0.66,0.19,0.52,37,0.84,0.16,1,0,25,1.02
Portugal,PT,service,Natural gas,2050,heating,1,0.3,0.77,56,0.84,0.16,2,0,25,1.02
Romania,RO,service,Natural gas,2050,heating,0.8,0.11,0.57,43,0.84,0.16,1,0,25,1.02
Slovakia,SK,service,Natural gas,2050,heating,0.81,0.24,0.66,45,0.84,0.16,1,0,25,1.02
Slovenia,SI,service,Natural gas,2050,heating,0.88,0.3,0.73,50,0.84,0.16,1,0,25,1.02
Spain,ES,service,Natural gas,2050,heating,0.89,0.51,0.82,52,0.84,0.16,2,0,25,1.02
Sweden,SE,service,Natural gas,2050,heating,1.01,1.02,0.98,63,0.84,0.16,2,0,25,1.02
United Kingdom,UK,service,Natural gas,2050,heating,0.87,0.71,0.85,53,0.84,0.16,2,0,25,1.02
Austria,AT,service,Biomass_Automatic,2015,heating,0.82,0.81,0.9,274,0.8,0.2,6,0,20,0.8
Belgium,BE,service,Biomass_Automatic,2015,heating,0.92,0.88,0.88,306,0.8,0.2,6,0,20,0.8
Bulgaria,BG,service,Biomass_Automatic,2015,heating,0.73,0.09,0.52,203,0.8,0.2,4,0,20,0.8
Croatia,HR,service,Biomass_Automatic,2015,heating,0.83,0.23,0.66,239,0.8,0.2,5,0,20,0.8
Cyprus,CY,service,Biomass_Automatic,2015,heating,1.02,0.36,0.73,297,0.8,0.2,5,0,20,0.8
Czech Republic,CZ,service,Biomass_Automatic,2015,heating,0.8,0.24,0.63,232,0.8,0.2,4,0,20,0.8
Denmark,DK,service,Biomass_Automatic,2015,heating,1,1,1,335,0.8,0.2,7,0,20,0.8
Estonia,EE,service,Biomass_Automatic,2015,heating,0.82,0.3,0.72,240,0.8,0.2,5,0,20,0.8
Finland,FI,service,Biomass_Automatic,2015,heating,0.94,0.87,0.92,309,0.8,0.2,6,0,20,0.8
France,FR,service,Biomass_Automatic,2015,heating,0.93,0.8,0.84,302,0.8,0.2,6,0,20,0.8
Germany,DE,service,Biomass_Automatic,2015,heating,0.89,0.69,0.82,284,0.8,0.2,6,0,20,0.8
Greece,EL,service,Biomass_Automatic,2015,heating,0.81,0.29,0.74,236,0.8,0.2,5,0,20,0.8
Hungary,HU,service,Biomass_Automatic,2015,heating,0.76,0.15,0.57,214,0.8,0.2,4,0,20,0.8
Ireland,IE,service,Biomass_Automatic,2015,heating,0.87,0.69,0.83,279,0.8,0.2,6,0,20,0.8
Italy,IT,service,Biomass_Automatic,2015,heating,0.94,0.6,0.87,293,0.8,0.2,6,0,20,0.8
Latvia,LV,service,Biomass_Automatic,2015,heating,0.76,0.19,0.68,217,0.8,0.2,5,0,20,0.8
Lithuania,LT,service,Biomass_Automatic,2015,heating,0.81,0.18,0.66,229,0.8,0.2,5,0,20,0.8
Luxembourg,LU,service,Biomass_Automatic,2015,heating,0.98,0.64,0.92,307,0.8,0.2,6,0,20,0.8
Malta,MT,service,Biomass_Automatic,2015,heating,1.16,0.24,0.85,327,0.8,0.2,6,0,20,0.8
Netherlands,NL,service,Biomass_Automatic,2015,heating,0.87,0.86,0.88,290,0.8,0.2,6,0,20,0.8
Poland,PL,service,Biomass_Automatic,2015,heating,0.66,0.19,0.52,190,0.8,0.2,4,0,20,0.8
Portugal,PT,service,Biomass_Automatic,2015,heating,1,0.3,0.77,289,0.8,0.2,5,0,20,0.8
Romania,RO,service,Biomass_Automatic,2015,heating,0.8,0.11,0.57,221,0.8,0.2,4,0,20,0.8
Slovakia,SK,service,Biomass_Automatic,2015,heating,0.81,0.24,0.66,232,0.8,0.2,5,0,20,0.8
Slovenia,SI,service,Biomass_Automatic,2015,heating,0.88,0.3,0.73,255,0.8,0.2,5,0,20,0.8
Spain,ES,service,Biomass_Automatic,2015,heating,0.89,0.51,0.82,273,0.8,0.2,6,0,20,0.8
Sweden,SE,service,Biomass_Automatic,2015,heating,1.01,1.02,0.98,338,0.8,0.2,7,0,20,0.8
United Kingdom,UK,service,Biomass_Automatic,2015,heating,0.87,0.71,0.85,280,0.8,0.2,6,0,20,0.8
Austria,AT,service,Biomass_Automatic,2020,heating,0.82,0.81,0.9,274,0.8,0.2,6,0,20,0.85
Belgium,BE,service,Biomass_Automatic,2020,heating,0.92,0.88,0.88,306,0.8,0.2,6,0,20,0.85
Bulgaria,BG,service,Biomass_Automatic,2020,heating,0.73,0.09,0.52,203,0.8,0.2,4,0,20,0.85
Croatia,HR,service,Biomass_Automatic,2020,heating,0.83,0.23,0.66,239,0.8,0.2,5,0,20,0.85
Cyprus,CY,service,Biomass_Automatic,2020,heating,1.02,0.36,0.73,297,0.8,0.2,5,0,20,0.85
Czech Republic,CZ,service,Biomass_Automatic,2020,heating,0.8,0.24,0.63,232,0.8,0.2,4,0,20,0.85
Denmark,DK,service,Biomass_Automatic,2020,heating,1,1,1,335,0.8,0.2,7,0,20,0.85
Estonia,EE,service,Biomass_Automatic,2020,heating,0.82,0.3,0.72,240,0.8,0.2,5,0,20,0.85
Finland,FI,service,Biomass_Automatic,2020,heating,0.94,0.87,0.92,309,0.8,0.2,6,0,20,0.85
France,FR,service,Biomass_Automatic,2020,heating,0.93,0.8,0.84,302,0.8,0.2,6,0,20,0.85
Germany,DE,service,Biomass_Automatic,2020,heating,0.89,0.69,0.82,284,0.8,0.2,6,0,20,0.85
Greece,EL,service,Biomass_Automatic,2020,heating,0.81,0.29,0.74,236,0.8,0.2,5,0,20,0.85
Hungary,HU,service,Biomass_Automatic,2020,heating,0.76,0.15,0.57,214,0.8,0.2,4,0,20,0.85
Ireland,IE,service,Biomass_Automatic,2020,heating,0.87,0.69,0.83,279,0.8,0.2,6,0,20,0.85
Italy,IT,service,Biomass_Automatic,2020,heating,0.94,0.6,0.87,293,0.8,0.2,6,0,20,0.85
Latvia,LV,service,Biomass_Automatic,2020,heating,0.76,0.19,0.68,217,0.8,0.2,5,0,20,0.85
Lithuania,LT,service,Biomass_Automatic,2020,heating,0.81,0.18,0.66,229,0.8,0.2,5,0,20,0.85
Luxembourg,LU,service,Biomass_Automatic,2020,heating,0.98,0.64,0.92,307,0.8,0.2,6,0,20,0.85
Malta,MT,service,Biomass_Automatic,2020,heating,1.16,0.24,0.85,327,0.8,0.2,6,0,20,0.85
Netherlands,NL,service,Biomass_Automatic,2020,heating,0.87,0.86,0.88,290,0.8,0.2,6,0,20,0.85
Poland,PL,service,Biomass_Automatic,2020,heating,0.66,0.19,0.52,190,0.8,0.2,4,0,20,0.85
Portugal,PT,service,Biomass_Automatic,2020,heating,1,0.3,0.77,289,0.8,0.2,5,0,20,0.85
Romania,RO,service,Biomass_Automatic,2020,heating,0.8,0.11,0.57,221,0.8,0.2,4,0,20,0.85
Slovakia,SK,service,Biomass_Automatic,2020,heating,0.81,0.24,0.66,232,0.8,0.2,5,0,20,0.85
Slovenia,SI,service,Biomass_Automatic,2020,heating,0.88,0.3,0.73,255,0.8,0.2,5,0,20,0.85
Spain,ES,service,Biomass_Automatic,2020,heating,0.89,0.51,0.82,273,0.8,0.2,6,0,20,0.85
Sweden,SE,service,Biomass_Automatic,2020,heating,1.01,1.02,0.98,338,0.8,0.2,7,0,20,0.85
United Kingdom,UK,service,Biomass_Automatic,2020,heating,0.87,0.71,0.85,280,0.8,0.2,6,0,20,0.85
Austria,AT,service,Biomass_Automatic,2030,heating,0.82,0.81,0.9,274,0.8,0.2,6,0,20,0.86
Belgium,BE,service,Biomass_Automatic,2030,heating,0.92,0.88,0.88,306,0.8,0.2,6,0,20,0.86
Bulgaria,BG,service,Biomass_Automatic,2030,heating,0.73,0.09,0.52,203,0.8,0.2,4,0,20,0.86
Croatia,HR,service,Biomass_Automatic,2030,heating,0.83,0.23,0.66,239,0.8,0.2,5,0,20,0.86
Cyprus,CY,service,Biomass_Automatic,2030,heating,1.02,0.36,0.73,297,0.8,0.2,5,0,20,0.86
Czech Republic,CZ,service,Biomass_Automatic,2030,heating,0.8,0.24,0.63,232,0.8,0.2,4,0,20,0.86
Denmark,DK,service,Biomass_Automatic,2030,heating,1,1,1,335,0.8,0.2,7,0,20,0.86
Estonia,EE,service,Biomass_Automatic,2030,heating,0.82,0.3,0.72,240,0.8,0.2,5,0,20,0.86
Finland,FI,service,Biomass_Automatic,2030,heating,0.94,0.87,0.92,309,0.8,0.2,6,0,20,0.86
France,FR,service,Biomass_Automatic,2030,heating,0.93,0.8,0.84,302,0.8,0.2,6,0,20,0.86
Germany,DE,service,Biomass_Automatic,2030,heating,0.89,0.69,0.82,284,0.8,0.2,6,0,20,0.86
Greece,EL,service,Biomass_Automatic,2030,heating,0.81,0.29,0.74,236,0.8,0.2,5,0,20,0.86
Hungary,HU,service,Biomass_Automatic,2030,heating,0.76,0.15,0.57,214,0.8,0.2,4,0,20,0.86
Ireland,IE,service,Biomass_Automatic,2030,heating,0.87,0.69,0.83,279,0.8,0.2,6,0,20,0.86
Italy,IT,service,Biomass_Automatic,2030,heating,0.94,0.6,0.87,293,0.8,0.2,6,0,20,0.86
Latvia,LV,service,Biomass_Automatic,2030,heating,0.76,0.19,0.68,217,0.8,0.2,5,0,20,0.86
Lithuania,LT,service,Biomass_Automatic,2030,heating,0.81,0.18,0.66,229,0.8,0.2,5,0,20,0.86
Luxembourg,LU,service,Biomass_Automatic,2030,heating,0.98,0.64,0.92,307,0.8,0.2,6,0,20,0.86
Malta,MT,service,Biomass_Automatic,2030,heating,1.16,0.24,0.85,327,0.8,0.2,6,0,20,0.86
Netherlands,NL,service,Biomass_Automatic,2030,heating,0.87,0.86,0.88,290,0.8,0.2,6,0,20,0.86
Poland,PL,service,Biomass_Automatic,2030,heating,0.66,0.19,0.52,190,0.8,0.2,4,0,20,0.86
Portugal,PT,service,Biomass_Automatic,2030,heating,1,0.3,0.77,289,0.8,0.2,5,0,20,0.86
Romania,RO,service,Biomass_Automatic,2030,heating,0.8,0.11,0.57,221,0.8,0.2,4,0,20,0.86
Slovakia,SK,service,Biomass_Automatic,2030,heating,0.81,0.24,0.66,232,0.8,0.2,5,0,20,0.86
Slovenia,SI,service,Biomass_Automatic,2030,heating,0.88,0.3,0.73,255,0.8,0.2,5,0,20,0.86
Spain,ES,service,Biomass_Automatic,2030,heating,0.89,0.51,0.82,273,0.8,0.2,6,0,20,0.86
Sweden,SE,service,Biomass_Automatic,2030,heating,1.01,1.02,0.98,338,0.8,0.2,7,0,20,0.86
United Kingdom,UK,service,Biomass_Automatic,2030,heating,0.87,0.71,0.85,280,0.8,0.2,6,0,20,0.86
Austria,AT,service,Biomass_Automatic,2050,heating,0.82,0.81,0.9,274,0.8,0.2,6,0,20,0.88
Belgium,BE,service,Biomass_Automatic,2050,heating,0.92,0.88,0.88,306,0.8,0.2,6,0,20,0.88
Bulgaria,BG,service,Biomass_Automatic,2050,heating,0.73,0.09,0.52,203,0.8,0.2,4,0,20,0.88
Croatia,HR,service,Biomass_Automatic,2050,heating,0.83,0.23,0.66,239,0.8,0.2,5,0,20,0.88
Cyprus,CY,service,Biomass_Automatic,2050,heating,1.02,0.36,0.73,297,0.8,0.2,5,0,20,0.88
Czech Republic,CZ,service,Biomass_Automatic,2050,heating,0.8,0.24,0.63,232,0.8,0.2,4,0,20,0.88
Denmark,DK,service,Biomass_Automatic,2050,heating,1,1,1,335,0.8,0.2,7,0,20,0.88
Estonia,EE,service,Biomass_Automatic,2050,heating,0.82,0.3,0.72,240,0.8,0.2,5,0,20,0.88
Finland,FI,service,Biomass_Automatic,2050,heating,0.94,0.87,0.92,309,0.8,0.2,6,0,20,0.88
France,FR,service,Biomass_Automatic,2050,heating,0.93,0.8,0.84,302,0.8,0.2,6,0,20,0.88
Germany,DE,service,Biomass_Automatic,2050,heating,0.89,0.69,0.82,284,0.8,0.2,6,0,20,0.88
Greece,EL,service,Biomass_Automatic,2050,heating,0.81,0.29,0.74,236,0.8,0.2,5,0,20,0.88
Hungary,HU,service,Biomass_Automatic,2050,heating,0.76,0.15,0.57,214,0.8,0.2,4,0,20,0.88
Ireland,IE,service,Biomass_Automatic,2050,heating,0.87,0.69,0.83,279,0.8,0.2,6,0,20,0.88
Italy,IT,service,Biomass_Automatic,2050,heating,0.94,0.6,0.87,293,0.8,0.2,6,0,20,0.88
Latvia,LV,service,Biomass_Automatic,2050,heating,0.76,0.19,0.68,217,0.8,0.2,5,0,20,0.88
Lithuania,LT,service,Biomass_Automatic,2050,heating,0.81,0.18,0.66,229,0.8,0.2,5,0,20,0.88
Luxembourg,LU,service,Biomass_Automatic,2050,heating,0.98,0.64,0.92,307,0.8,0.2,6,0,20,0.88
Malta,MT,service,Biomass_Automatic,2050,heating,1.16,0.24,0.85,327,0.8,0.2,6,0,20,0.88
Netherlands,NL,service,Biomass_Automatic,2050,heating,0.87,0.86,0.88,290,0.8,0.2,6,0,20,0.88
Poland,PL,service,Biomass_Automatic,2050,heating,0.66,0.19,0.52,190,0.8,0.2,4,0,20,0.88
Portugal,PT,service,Biomass_Automatic,2050,heating,1,0.3,0.77,289,0.8,0.2,5,0,20,0.88
Romania,RO,service,Biomass_Automatic,2050,heating,0.8,0.11,0.57,221,0.8,0.2,4,0,20,0.88
Slovakia,SK,service,Biomass_Automatic,2050,heating,0.81,0.24,0.66,232,0.8,0.2,5,0,20,0.88
Slovenia,SI,service,Biomass_Automatic,2050,heating,0.88,0.3,0.73,255,0.8,0.2,5,0,20,0.88
Spain,ES,service,Biomass_Automatic,2050,heating,0.89,0.51,0.82,273,0.8,0.2,6,0,20,0.88
Sweden,SE,service,Biomass_Automatic,2050,heating,1.01,1.02,0.98,338,0.8,0.2,7,0,20,0.88
United Kingdom,UK,service,Biomass_Automatic,2050,heating,0.87,0.71,0.85,280,0.8,0.2,6,0,20,0.88
Austria,AT,service,HP Air-to-Water,2015,heating,0.82,0.81,0.9,384,0.7,0.3,9,0,20,3
Belgium,BE,service,HP Air-to-Water,2015,heating,0.92,0.88,0.88,426,0.7,0.3,9,0,20,3
Bulgaria,BG,service,HP Air-to-Water,2015,heating,0.73,0.09,0.52,224,0.7,0.3,5,0,20,3
Croatia,HR,service,HP Air-to-Water,2015,heating,0.83,0.23,0.66,279,0.7,0.3,7,0,20,3
Cyprus,CY,service,HP Air-to-Water,2015,heating,1.02,0.36,0.73,355,0.7,0.3,7,0,20,3
Czech Republic,CZ,service,HP Air-to-Water,2015,heating,0.8,0.24,0.63,272,0.7,0.3,6,0,20,3
Denmark,DK,service,HP Air-to-Water,2015,heating,1,1,1,470,0.7,0.3,10,0,20,3
Estonia,EE,service,HP Air-to-Water,2015,heating,0.82,0.3,0.72,288,0.7,0.3,7,0,20,3
Finland,FI,service,HP Air-to-Water,2015,heating,0.94,0.87,0.92,428,0.7,0.3,9,0,20,3
France,FR,service,HP Air-to-Water,2015,heating,0.93,0.8,0.84,412,0.7,0.3,8,0,20,3
Germany,DE,service,HP Air-to-Water,2015,heating,0.89,0.69,0.82,381,0.7,0.3,8,0,20,3
Greece,EL,service,HP Air-to-Water,2015,heating,0.81,0.29,0.74,282,0.7,0.3,7,0,20,3
Hungary,HU,service,HP Air-to-Water,2015,heating,0.76,0.15,0.57,244,0.7,0.3,6,0,20,3
Ireland,IE,service,HP Air-to-Water,2015,heating,0.87,0.69,0.83,375,0.7,0.3,8,0,20,3
Italy,IT,service,HP Air-to-Water,2015,heating,0.94,0.6,0.87,379,0.7,0.3,9,0,20,3
Latvia,LV,service,HP Air-to-Water,2015,heating,0.76,0.19,0.68,251,0.7,0.3,7,0,20,3
Lithuania,LT,service,HP Air-to-Water,2015,heating,0.81,0.18,0.66,263,0.7,0.3,7,0,20,3
Luxembourg,LU,service,HP Air-to-Water,2015,heating,0.98,0.64,0.92,398,0.7,0.3,9,0,20,3
Malta,MT,service,HP Air-to-Water,2015,heating,1.16,0.24,0.85,372,0.7,0.3,9,0,20,3
Netherlands,NL,service,HP Air-to-Water,2015,heating,0.87,0.86,0.88,406,0.7,0.3,9,0,20,3
Poland,PL,service,HP Air-to-Water,2015,heating,0.66,0.19,0.52,223,0.7,0.3,5,0,20,3
Portugal,PT,service,HP Air-to-Water,2015,heating,1,0.3,0.77,339,0.7,0.3,8,0,20,3
Romania,RO,service,HP Air-to-Water,2015,heating,0.8,0.11,0.57,245,0.7,0.3,6,0,20,3
Slovakia,SK,service,HP Air-to-Water,2015,heating,0.81,0.24,0.66,272,0.7,0.3,7,0,20,3
Slovenia,SI,service,HP Air-to-Water,2015,heating,0.88,0.3,0.73,304,0.7,0.3,7,0,20,3
Spain,ES,service,HP Air-to-Water,2015,heating,0.89,0.51,0.82,348,0.7,0.3,8,0,20,3
Sweden,SE,service,HP Air-to-Water,2015,heating,1.01,1.02,0.98,475,0.7,0.3,10,0,20,3
United Kingdom,UK,service,HP Air-to-Water,2015,heating,0.87,0.71,0.85,378,0.7,0.3,8,0,20,3
Austria,AT,service,HP Air-to-Water,2020,heating,0.82,0.81,0.9,359,0.7,0.3,9,0,20,3.3
Belgium,BE,service,HP Air-to-Water,2020,heating,0.92,0.88,0.88,399,0.7,0.3,9,0,20,3.3
Bulgaria,BG,service,HP Air-to-Water,2020,heating,0.73,0.09,0.52,210,0.7,0.3,5,0,20,3.3
Croatia,HR,service,HP Air-to-Water,2020,heating,0.83,0.23,0.66,261,0.7,0.3,7,0,20,3.3
Cyprus,CY,service,HP Air-to-Water,2020,heating,1.02,0.36,0.73,332,0.7,0.3,7,0,20,3.3
Czech Republic,CZ,service,HP Air-to-Water,2020,heating,0.8,0.24,0.63,255,0.7,0.3,6,0,20,3.3
Denmark,DK,service,HP Air-to-Water,2020,heating,1,1,1,440,0.7,0.3,10,0,20,3.3
Estonia,EE,service,HP Air-to-Water,2020,heating,0.82,0.3,0.72,269,0.7,0.3,7,0,20,3.3
Finland,FI,service,HP Air-to-Water,2020,heating,0.94,0.87,0.92,401,0.7,0.3,9,0,20,3.3
France,FR,service,HP Air-to-Water,2020,heating,0.93,0.8,0.84,386,0.7,0.3,8,0,20,3.3
Germany,DE,service,HP Air-to-Water,2020,heating,0.89,0.69,0.82,356,0.7,0.3,8,0,20,3.3
Greece,EL,service,HP Air-to-Water,2020,heating,0.81,0.29,0.74,264,0.7,0.3,7,0,20,3.3
Hungary,HU,service,HP Air-to-Water,2020,heating,0.76,0.15,0.57,228,0.7,0.3,6,0,20,3.3
Ireland,IE,service,HP Air-to-Water,2020,heating,0.87,0.69,0.83,351,0.7,0.3,8,0,20,3.3
Italy,IT,service,HP Air-to-Water,2020,heating,0.94,0.6,0.87,355,0.7,0.3,9,0,20,3.3
Latvia,LV,service,HP Air-to-Water,2020,heating,0.76,0.19,0.68,235,0.7,0.3,7,0,20,3.3
Lithuania,LT,service,HP Air-to-Water,2020,heating,0.81,0.18,0.66,246,0.7,0.3,7,0,20,3.3
Luxembourg,LU,service,HP Air-to-Water,2020,heating,0.98,0.64,0.92,373,0.7,0.3,9,0,20,3.3
Malta,MT,service,HP Air-to-Water,2020,heating,1.16,0.24,0.85,348,0.7,0.3,9,0,20,3.3
Netherlands,NL,service,HP Air-to-Water,2020,heating,0.87,0.86,0.88,380,0.7,0.3,9,0,20,3.3
Poland,PL,service,HP Air-to-Water,2020,heating,0.66,0.19,0.52,208,0.7,0.3,5,0,20,3.3
Portugal,PT,service,HP Air-to-Water,2020,heating,1,0.3,0.77,318,0.7,0.3,8,0,20,3.3
Romania,RO,service,HP Air-to-Water,2020,heating,0.8,0.11,0.57,229,0.7,0.3,6,0,20,3.3
Slovakia,SK,service,HP Air-to-Water,2020,heating,0.81,0.24,0.66,254,0.7,0.3,7,0,20,3.3
Slovenia,SI,service,HP Air-to-Water,2020,heating,0.88,0.3,0.73,284,0.7,0.3,7,0,20,3.3
Spain,ES,service,HP Air-to-Water,2020,heating,0.89,0.51,0.82,326,0.7,0.3,8,0,20,3.3
Sweden,SE,service,HP Air-to-Water,2020,heating,1.01,1.02,0.98,445,0.7,0.3,10,0,20,3.3
United Kingdom,UK,service,HP Air-to-Water,2020,heating,0.87,0.71,0.85,354,0.7,0.3,8,0,20,3.3
Austria,AT,service,HP Air-to-Water,2030,heating,0.82,0.81,0.9,319,0.7,0.3,9,0,20,3.7
Belgium,BE,service,HP Air-to-Water,2030,heating,0.92,0.88,0.88,353,0.7,0.3,9,0,20,3.7
Bulgaria,BG,service,HP Air-to-Water,2030,heating,0.73,0.09,0.52,186,0.7,0.3,5,0,20,3.7
