nuts2_id,heating_or_cooling,sector,120%load_factor
FR53,heating,service,0.000396215
FR61,heating,service,0.000428717
FR62,heating,service,0.000428001
FR63,heating,service,0.000382693
FR71,heating,service,0.000370755
FR72,heating,service,0.000380655
FR81,heating,service,0.00043338
FR82,heating,service,0.000395512
FR83,heating,service,0.000428908
HR03,heating,service,0.000409172
HR04,heating,service,0.000411889
HU10,heating,service,0.00042811
HU21,heating,service,0.000406384
HU22,heating,service,0.000421081
HU23,heating,service,0.000415561
HU31,heating,service,0.000431152
HU32,heating,service,0.000429292
HU33,heating,service,0.000441678
IE01,heating,service,0.000360097
IE02,heating,service,0.00035841
ITC1,heating,service,0.000389168
ITC2,heating,service,0.000306941
ITC3,heating,service,0.000389395
ITC4,heating,service,0.000394569
ITF1,heating,service,0.000424547
ITF2,heating,service,0.000456011
ITF3,heating,service,0.000498432
ITF4,heating,service,0.000516501
ITF5,heating,service,0.000449159
ITF6,heating,service,0.000461101
ITG2,heating,service,0.000490833
ITH1,heating,service,0.000319389
ITH2,heating,service,0.000342712
ITH3,heating,service,0.000419883
ITH4,heating,service,0.000396481
ITH5,heating,service,0.000425271
ITI1,heating,service,0.000400854
ITI2,heating,service,0.000410969
ITI3,heating,service,0.000447234
ITI4,heating,service,0.000470776
LT00,heating,service,0.000395955
LU00,heating,service,0.000358125
LV00,heating,service,0.000380442
NL11,heating,service,0.000347587
NL12,heating,service,0.000371962
NL13,heating,service,0.000347053
NL21,heating,service,0.000370429
NL22,heating,service,0.000348319
NL23,heating,service,0.000367188
NL31,heating,service,0.000357042
NL32,heating,service,0.000373687
NL33,heating,service,0.000364825
NL34,heating,service,0.000362173
NL41,heating,service,0.000377205
NL42,heating,service,0.000376505
PL11,heating,service,0.000443817
PL12,heating,service,0.000443227
PL21,heating,service,0.000445959
PL22,heating,service,0.000448591
PL31,heating,service,0.000449544
PL32,heating,service,0.000436498
PL33,heating,service,0.000448865
PL34,heating,service,0.000419532
PL41,heating,service,0.000449453
PL42,heating,service,0.000403635
PL43,heating,service,0.00042367
PL51,heating,service,0.000424976
PL52,heating,service,0.000460216
PL61,heating,service,0.000424889
PL62,heating,service,0.00041829
PL63,heating,service,0.000378017
PT11,heating,service,0.000451356
PT15,heating,service,0.000508334
PT16,heating,service,0.000482951
PT17,heating,service,0.000504027
PT18,heating,service,0.00051381
SE11,heating,service,0.000373169
SE12,heating,service,0.00035743
SE21,heating,service,0.000377211
SE22,heating,service,0.000369574
SE23,heating,service,0.000381286
SE31,heating,service,0.000323882
SE32,heating,service,0.000293884
SE33,heating,service,0.000282074
SI03,heating,service,0.000393567
SI04,heating,service,0.000366998
SK01,heating,service,0.000419711
SK02,heating,service,0.000429466
SK03,heating,service,0.000395268
SK04,heating,service,0.000426093
UKC1,heating,service,0.000325682
UKC2,heating,service,0.000322447
UKD1,heating,service,0.000331167
UKD3,heating,service,0.000346191
UKD4,heating,service,0.000341928
UKD6,heating,service,0.000362496
UKD7,heating,service,0.000367836
UKE1,heating,service,0.000357359
UKE2,heating,service,0.000337428
UKE3,heating,service,0.000344899
UKE4,heating,service,0.000333788
UKF1,heating,service,0.000351433
UKF2,heating,service,0.000368776
UKF3,heating,service,0.000358834
UKG1,heating,service,0.000360244
UKG2,heating,service,0.00036769
UKG3,heating,service,0.000373853
UKH1,heating,service,0.000345854
UKH2,heating,service,0.000356429
UKH3,heating,service,0.000346086
UKI3,heating,service,0.000341885
UKI4,heating,service,0.000354565
UKI5,heating,service,0.000350106
UKI6,heating,service,0.000334152
UKI7,heating,service,0.000358157
UKJ1,heating,service,0.000361836
UKJ2,heating,service,0.000348551
UKJ3,heating,service,0.000338988
UKJ4,heating,service,0.000335784
UKK1,heating,service,0.000357106
UKK2,heating,service,0.000347487
UKK3,heating,service,0.000331957
UKK4,heating,service,0.000334851
UKL1,heating,service,0.000333455
UKL2,heating,service,0.000346161
UKM2,heating,service,0.000319053
UKM3,heating,service,0.000327592
UKM5,heating,service,0.000325299
UKM6,heating,service,0.000330543
UKN0,heating,service,0.000350441
AT11,cooling,residential,0.000438109
AT12,cooling,residential,0.000440924
AT13,cooling,residential,0.000413166
AT21,cooling,residential,0.000375793
AT22,cooling,residential,0.000414521
AT31,cooling,residential,0.000405504
AT32,cooling,residential,0.000370517
AT33,cooling,residential,0.000358639
AT34,cooling,residential,0.000378174
BE10,cooling,residential,0.000423667
BE21,cooling,residential,0.00042749
BE22,cooling,residential,0.000420719
BE23,cooling,residential,0.000423344
BE24,cooling,residential,0.000420717
BE25,cooling,residential,0.000418884
BE31,cooling,residential,0.00040865
BE32,cooling,residential,0.000410945
BE33,cooling,residential,0.000412557
BE34,cooling,residential,0.0004125
BE35,cooling,residential,0.000407908
BG31,cooling,residential,0.000601653
